2024-02-11 19:19:34.787 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-02-11 19:19:34.787 [info] Added views:workbench.panel.output in workbench.panel.output
2024-02-11 19:19:34.787 [info] Added views:terminal in terminal
2024-02-11 19:19:34.787 [info] Added views:outline in workbench.view.explorer
2024-02-11 19:19:34.787 [info] Added views:workbench.scm in workbench.view.scm
2024-02-11 19:19:34.787 [info] Added views:workbench.view.search in workbench.view.search
2024-02-11 19:19:34.787 [info] Added views:timeline in workbench.view.explorer
2024-02-11 19:19:34.787 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-02-11 19:19:34.993 [info] Added views:effectiveMetadata in workbench.view.explorer
2024-02-11 19:19:34.993 [info] Added views:remoteTargets in workbench.view.remote
2024-02-11 19:19:34.993 [info] Added views:liveshare.session in workbench.view.extension.liveshare
2024-02-11 19:19:34.996 [info] Added views:snippetsView in workbench.view.explorer
2024-02-11 19:19:35.257 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2024-02-11 19:19:35.497 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-02-11 19:19:35.502 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-02-11 19:19:35.503 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-02-11 19:19:35.767 [info] Added views:workbench.view.testing in workbench.view.extension.test
2024-02-11 19:19:35.951 [info] Added views:dartDependencyTree in workbench.view.explorer
2024-02-11 19:19:35.956 [info] Added views:dartFlutterSidebar,dartFlutterOutline in workbench.view.extension.flutter
2024-02-11 19:19:37.796 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-02-11 19:19:58.425 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2024-02-11 19:19:58.898 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-02-11 19:19:58.918 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-02-11 19:21:52.669 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-02-11 19:21:52.679 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-02-11 19:21:52.685 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-02-11 19:21:52.712 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-02-11 19:22:08.954 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-02-11 19:22:08.960 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-02-11 19:26:52.268 [info] Added views:workbench.panel.testResults.view in workbench.panel.testResults
2024-02-11 19:26:53.017 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-02-11 19:26:53.047 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-02-11 19:27:12.786 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-02-11 19:27:12.826 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-02-11 19:27:28.682 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-02-11 19:27:28.716 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-02-11 19:27:59.221 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-02-11 19:27:59.242 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-02-11 19:37:05.240 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-02-11 19:37:05.271 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-02-11 20:23:33.376 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-02-11 20:23:33.390 [info] Added views:workbench.debug.welcome in workbench.view.debug
